Query,Original_Answer,Generated_Answer
Can you identify any patterns in transaction volume by customer city per month?,"def transaction_volume_by_city_per_month(df, customer_df):\n    merged_df = pd.merge(df, customer_df, on='user_id')\n    merged_df['month'] = merged_df['timestamp'].dt.to_period('M')\n    volume_by_city_per_month = merged_df.groupby(['month', 'customer_city']).size().reset_index(name='transaction_count')\n    return volume_by_city_per_month\n","def transaction_volume_patterns(df, customer_df):\n    merged_df = pd.merge(df, customer_df, on='user_id', how='left')\n    merged_df['month'] = merged_df['timestamp'].dt.month\n    merged_df['year'] = merged_df['timestamp'].dt.year\n    transaction_volume_patterns = merged_df.groupby(['customer_city','month', 'year']].size().reset_index(name='transaction_count')\n    return transaction_volume_patterns\n"
Compute Lexical Document Similarity,"def lexical_document_similarity(df, customer_df):\n    merged_df = pd.merge(df, customer_df, on='user_id', how='left')\n    feedback_per_customer = merged_df.groupby('user_id')['item_id'].apply(' '.join).reset_index()\n    vectorizer = TfidfVectorizer()\n    tfidf_matrix = vectorizer.fit_transform(feedback_per_customer['item_id'])\n    similarity_matrix = cosine_similarity(tfidf_matrix, tfidf_matrix)\n    return similarity_matrix\n","def lexical_document_similarity(df, customer_df):\n    merged_df = df.merge(customer_df, on='user_id')\n    vectorizer = LabelEncoder()\n    merged_df['user_id_encoded'] = vectorizer.fit_transform(merged_df['user_id'])\n    user_similarity = cosine_similarity(merged_df['user_id_encoded'])\n    return user_similarity\n"
How do the prices of related products affect their sales performance and customer perception?,"def analyze_product_prices(df, customer_df, product_df):\n    merged_df = pd.merge(df, customer_df, on='user_id')\n    merged_df = pd.merge(merged_df, product_df, on='item_id')\n    sales_performance = merged_df.groupby('product_category').size().reset_index(name='total_sales')\n    average_score = merged_df.groupby('product_category')['score'].mean().reset_index(name='average_score')\n    if 'price' in product_df.columns:\n        average_price = product_df.groupby('product_category')['price'].mean().reset_index(name='average_price')\n    else:\n        average_price = pd.DataFrame({'product_category': product_df['product_category'], 'average_price': 50}) \n    analysis_df = pd.merge(sales_performance, average_score, on='product_category')\n    analysis_df = pd.merge(analysis_df, average_price, on='product_category')\n    correlation = None\n    if 'average_price' in analysis_df.columns and 'total_sales' in analysis_df.columns:\n        price_std = analysis_df['average_price'].std()\n        sales_std = analysis_df['total_sales'].std()\n        if price_std != 0 and sales_std != 0:\n            correlation = analysis_df['average_price'].corr(analysis_df['total_sales'])\n    return analysis_df, correlation\n","def analyze_related_product_prices(df, customer_df, product_df):\n    merged_df = df.merge(customer_df, on='user_id').merge(product_df, on='item_id')\n    pivot_table = merged_df.pivot_table(index='item_id', columns='product_category', values='score', aggfunc='mean', fill_value=0)\n    correlation_matrix = pivot_table.corr()\n    return correlation_matrix\n"
How do the scores of transactions involving related products compare to those of standalone purchases?,"def compare_transaction_scores(df, customer_df, product_df):\n    merged_df = pd.merge(df, customer_df, on='user_id')\n    merged_df = pd.merge(merged_df, product_df, on='item_id')\n    related_transactions = merged_df.groupby(['order_id', 'product_category']).agg({'score': 'mean', 'item_id': 'count'}).reset_index()\n    related_transactions.rename(columns={'item_id': 'product_count'}, inplace=True)\n    standalone_transactions = merged_df.drop_duplicates(subset=['order_id', 'product_category'])\n    standalone_transactions_scores = standalone_transactions.groupby('order_id')['score'].mean().reset_index(name='standalone_score')\n    comparison_df = pd.merge(related_transactions, standalone_transactions_scores, on='order_id', how='outer')\n    comparison_df['score_difference'] = comparison_df['score'] - comparison_df['standalone_score']\n    return comparison_df\n","def compare_scores(df, customer_df, product_df):\n    merged_df = df.merge(customer_df, on='user_id').merge(product_df, on='item_id')\n    related_products = {\n        'product_category_1': 'product_category_2',\n        'product_category_2': 'product_category_1'\n    }\n    merged_df['related_product_id'] = merged_df['item_id'].apply(lambda x: x.get_related_ids(related_products) if x.get_related_ids(related_products) else x for x in merged_df['item_id'])\n    merged_df['standalone_purchase'] = 1\n    related_products_scores = merged_df[merged_df['related_product_id']]\n    standalone_purchases_scores = merged_df[~merged_df['standalone_purchase']]\n    return related_products_scores, standalone_purchases_scores\n"
Could you please recommend top 5 related products for user 'Rajesh' based on their past purchases?,"def related_product_recommendations(df, product_df, user_id='Rajesh', n=5):\n    merged_df = pd.merge(df, product_df, on='item_id')\n    user_products_category = merged_df[merged_df['user_id'] == user_id]['product_category'].unique()\n    category_df = merged_df[merged_df['product_category'].isin(user_products_category)]\n    avg_scores = category_df.groupby('item_id')['score'].mean().sort_values(ascending=False)\n    user_purchased_products = set(merged_df[merged_df['user_id'] == user_id]['item_id'])\n    avg_scores = avg_scores[~avg_scores.index.isin(user_purchased_products)]\n    top_n_recommendations = avg_scores.head(n)\n    return top_n_recommendations\n","def related_product_recommendations(df, product_df, user_id='Rajesh', n=5):\n    merged_df = df.merge(product_df, on='item_id')\n    user_products = merged_df[merged_df['user_id'] == user_id]\n    product_scores = user_products.groupby('item_id')['score'].sum()\n    top_products = product_scores.head(n)\n    return top_products\n"
Can you identify the top 3 products that have shown a significant increase in sales in the past 30 days compared to the previous 60 days?,"def significant_increase_in_sales(df, product_df, current_time_window='30D', previous_time_window='60D', top_n=3):\n    df = df.merge(product_df, on='item_id')\n    df['timestamp'] = pd.to_datetime(df['timestamp'])\n    current_start_date = df['timestamp'].max() - pd.to_timedelta(current_time_window)\n    previous_start_date = df['timestamp'].max() - pd.to_timedelta(previous_time_window)\n    current_transactions = df[df['timestamp'] >= current_start_date]\n    previous_transactions = df[(df['timestamp'] >= previous_start_date) & (df['timestamp'] < current_start_date)]\n    current_sales = current_transactions['item_id'].value_counts()\n    previous_sales = previous_transactions['item_id'].value_counts()\n    sales_change = (current_sales - previous_sales).dropna().sort_values(ascending=False)\n    if sales_change.empty:\n        print(""No significant increase in sales found."")\n        return\n    top_products = sales_change.head(top_n).reset_index()\n    top_products.columns = ['item_id', 'increase_in_sales']\n    return top_products\n","def identify_top_products(df, product_df, time_window='30D', n=3):\n    merged_df = df.merge(product_df, on='item_id')\n    merged_df['timestamp'] = pd.to_datetime(merged_df['timestamp'])\n    last_60_days = merged_df[merged_df['timestamp'] >= merged_df['timestamp'].max() - pd.DateOffset(days=60)]\n    last_30_days = last_60_days[last_60_days['timestamp'] >= last_60_days['timestamp'].max() - pd.DateOffset(days=30)]\n    product_sales = last_30_days.groupby('item_id').size().reset_index(name='total_sales')\n    product_sales['change_in_sales'] = (product_sales['total_sales'] - product_sales['total_sales'].max() - n)) / product_sales['total_sales'].max()\n    top_products"
Can you provide a list of top product recommendations for each customer based on their historical interactions and preferences?,"def top_picks_recommendations(df, customer_df, product_df, num_recommendations=5):\n    df = pd.merge(df, customer_df, on='user_id', how='left')\n    df = pd.merge(df, product_df, on='item_id', how='left')\n    user_encoder = LabelEncoder()\n    user_encoder.fit(df['user_id'])\n    item_encoder = {}\n    for i, item_id in enumerate(df['item_id'].unique()):\n        item_encoder[item_id] = i\n    df['user_encoded'] = user_encoder.transform(df['user_id'])\n    df['item_encoded'] = df['item_id'].map(item_encoder)\n    num_users = df['user_encoded'].nunique()\n    num_items = len(item_encoder)\n    user_item_matrix = csr_matrix((df['score'], (df['user_encoded'], df['item_encoded'])), shape=(num_users, num_items))\n    n_components = min(num_users, num_items) - 1  \n    svd_model = TruncatedSVD(n_components=n_components)\n    user_item_matrix_svd = svd_model.fit_transform(user_item_matrix)\n    item_similarity = user_item_matrix_svd.dot(user_item_matrix_svd.T)\n    top_picks = {}\n    for user_id, group in df.groupby('user_id'):\n        user_items = group['item_encoded'].unique()\n        user_index = user_encoder.transform([user_id])[0]\n        user_scores = item_similarity[user_index]\n        user_scores[user_items] = 0\n        top_item_indices = user_scores.argsort()[::-1][:num_recommendations]\n        top_items = [item_id for item_id, index in item_encoder.items() if index in top_item_indices]\n        top_picks[user_id] = top_items\n    return top_picks\n","def next_best_offer_recommendations(df, customer_df, product_df, n=5):\n    merged_df = df.merge(customer_df, on='user_id').merge(product_df, on='item_id')\n    user_product_matrix = merged_df.pivot_table(index='user_id', columns='item_id', values='score', aggfunc='size', fill_value=0)\n    user_similarity = cosine_similarity(user_product_matrix)\n    user_similarity_df = pd.DataFrame(user_similarity, index=user_product_matrix.columns, columns=user_product_matrix.columns)\n    next_best_offers = {}\n    for user_id in user_similarity_df.columns:\n        similar_users_ids = user_similarity_df[user_id]\n        top_n_similar_user_ids = similar_users_ids.head(n)\n        top_n_similar_user_ids_products = merged_"
"Can you identify products in our inventory that are underperforming, and suggest actions to improve their rankings based on customer feedback and sales data? Specifically, I'd like to know which products have an average score below 0.5 and what strategies we can employ to address their performance issues. Additionally, could you provide insights on potential cities where demand might exist for these underperforming products?","def improve_product_rankings(df, customer_df, product_df, underperforming_threshold=0.5):\n    merged_df = df.merge(customer_df, on='user_id').merge(product_df, on='item_id')\n    product_scores = merged_df.groupby('item_id')['score'].mean().reset_index()\n    underperforming_products = product_scores[product_scores['score'] < underperforming_threshold]\n    actions = {}\n    for index, row in underperforming_products.iterrows():\n        item_id = row['item_id']\n        category = product_df[product_df['item_id'] == item_id]['product_category'].values[0]\n        potential_cities = merged_df[(merged_df['product_category'] == category) & \n                                     (merged_df['score'] >= underperforming_threshold)]['customer_city'].unique()\n        if len(potential_cities) > 0:\n            actions[item_id] = {\n                'action': 'Increase marketing efforts targeting cities with potential demand',\n                'potential_cities': potential_cities\n            }\n        else:\n            actions[item_id] = {\n                'action': 'Optimize product features or pricing to attract more customers'\n            }\n    return actions\n","def improve_product_rankings(df, customer_df, product_df, underperforming_threshold=0.5, target_city=None):\n    merged_df = df.merge(customer_df, on='user_id').merge(product_df, on='item_id')\n    product_scores = merged_df.groupby('item_id')['score'].mean()\n    underperforming_products = product_scores[product_scores.index.get_loc(product_scores.max() - underperforming_threshold)]\n    strategies = {}\n    for item_id, _ in underperforming_products.items():\n        item_data = merged_df[merged_df['item_id'] == item_id]\n        customer_feedback = item_data.groupby('user_id')['score'].mean()\n        strategies[item_id] = {}\n        for feedback_item_id, feedback_score in customer_feedback.items():\n            strategies[item_id]['promote_item_id'] = feedback_item_id"
Can you generate the top product recommendations for customers residing in London based on their transaction history?,"def generate_top_picks(df, customer_df, product_df, customer_city='London', n=5):\n    merged_df = df.merge(customer_df, on='user_id').merge(product_df, on='item_id')\n    if customer_city:\n        merged_df = merged_df[merged_df['customer_city'] == customer_city]\n    category_scores = merged_df.groupby('product_category')['score'].sum().reset_index()\n    category_scores = category_scores.rename(columns={'score': 'category_score'})\n    top_categories = category_scores.sort_values(by='category_score', ascending=False)['product_category'].head(n).tolist()\n    top_picks_df = merged_df[merged_df['product_category'].isin(top_categories)]\n    top_picks = top_picks_df.groupby('item_id')['score'].mean().reset_index()\n    top_picks = top_picks.rename(columns={'score': 'average_score'})\n    top_picks = top_picks.sort_values(by='average_score', ascending=False).head(n)\n    return top_picks\n","def top_product_recommendations_for_city(df, customer_df, product_df, city='London', top_n=5):\n    merged_df = df.merge(customer_df, on='user_id').merge(product_df, on='item_id')\n    city_transactions = merged_df[merged_df['customer_city'] == city]\n    product_scores = city_transactions.groupby('item_id')['score'].sum().reset_index()\n    top_products = product_scores.sort_values(by='score', ascending=False).head(top_n)\n    return top_products\n"
What is the total number of transactions in the dataset?,def total_transactions(df):\n    return df.shape[0]\n,def total_transactions(df):\n    total_transactions = df.shape[0]\n    return total_transactions\n
